age,workClass,education,educationNum,maritalStatus,occupation,race,sex,hoursPerWeek,nativeCountry,income
39,State-gov,Bachelors,13,Single,Adm-clerical,White,Male,40,United-States,<=50K
50,Self-emp-not-inc,Bachelors,13,Married,Exec-managerial,White,Male,13,United-States,<=50K
38,Private,HS-grad,9,Married,Handlers-cleaners,White,Male,40,United-States,<=50K
53,Private,11th,7,Married,Handlers-cleaners,Black,Male,40,United-States,<=50K
28,Private,Bachelors,13,Married,Prof-specialty,Black,Female,40,Cuba,<=50K
37,Private,Masters,14,Married,Exec-managerial,White,Female,40,United-States,<=50K
49,Private,9th,5,Married,Other-service,Black,Female,16,Jamaica,<=50K
52,Self-emp-not-inc,HS-grad,9,Married,Exec-managerial,White,Male,45,United-States,>50K
31,Private,Masters,14,Single,Prof-specialty,White,Female,50,United-States,>50K
42,Private,Bachelors,13,Married,Exec-managerial,White,Male,40,United-States,>50K
37,Private,Some-college,10,Married,Exec-managerial,Black,Male,80,United-States,>50K
30,State-gov,Bachelors,13,Married,Prof-specialty,Brown,Male,40,India,>50K
23,Private,Bachelors,13,Single,Adm-clerical,White,Female,30,United-States,<=50K
32,Private,Assoc-acdm,12,Single,Sales,Black,Male,50,United-States,<=50K
40,Private,Assoc-voc,11,Married,Craft-repair,Brown,Male,40,?,>50K
34,Private,7th-8th,4,Married,Transport-moving,Brown,Male,45,Mexico,<=50K
25,Self-emp-not-inc,HS-grad,9,Single,Farming-fishing,White,Male,35,United-States,<=50K
32,Private,HS-grad,9,Single,Machine-op-inspct,White,Male,40,United-States,<=50K
38,Private,11th,7,Married,Sales,White,Male,50,United-States,<=50K
43,Self-emp-not-inc,Masters,14,Married,Exec-managerial,White,Female,45,United-States,>50K
40,Private,Doctorate,16,Married,Prof-specialty,White,Male,60,United-States,>50K
54,Private,HS-grad,9,Married,Other-service,Black,Female,20,United-States,<=50K
35,Federal-gov,9th,5,Married,Farming-fishing,Black,Male,40,United-States,<=50K
43,Private,11th,7,Married,Transport-moving,White,Male,40,United-States,<=50K
59,Private,HS-grad,9,Married,Tech-support,White,Female,40,United-States,<=50K
56,Local-gov,Bachelors,13,Married,Tech-support,White,Male,40,United-States,>50K
19,Private,HS-grad,9,Single,Craft-repair,White,Male,40,United-States,<=50K
54,?,Some-college,10,Married,?,Brown,Male,60,South,>50K
39,Private,HS-grad,9,Married,Exec-managerial,White,Male,80,United-States,<=50K
49,Private,HS-grad,9,Married,Craft-repair,White,Male,40,United-States,<=50K
23,Local-gov,Assoc-acdm,12,Single,Protective-serv,White,Male,52,United-States,<=50K
20,Private,Some-college,10,Single,Sales,Black,Male,44,United-States,<=50K
45,Private,Bachelors,13,Married,Exec-managerial,White,Male,40,United-States,<=50K
30,Federal-gov,Some-college,10,Married,Adm-clerical,White,Male,40,United-States,<=50K
22,State-gov,Some-college,10,Married,Other-service,Black,Male,15,United-States,<=50K
48,Private,11th,7,Single,Machine-op-inspct,White,Male,40,Puerto-Rico,<=50K
